Local Date,State,Outage_status
03/14/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,0
03/14/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,0
03/14/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,0
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,0
03/13/2011,NY,1
03/13/2011,NY,0
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,1
03/13/2011,NY,0
03/13/2011,NY,0
03/13/2011,NY,0
03/13/2011,NY,1
03/12/2011,NY,0
03/12/2011,NY,1
03/12/2011,NY,1
03/12/2011,NY,1
03/12/2011,NY,0
03/12/2011,NY,1
03/12/2011,NY,1
03/12/2011,NY,1
03/12/2011,NY,1
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,1
03/12/2011,NY,1
03/12/2011,NY,1
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,1
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,0
03/12/2011,NY,1
03/12/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,0
03/11/2011,NY,0
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/11/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,0
03/10/2011,NY,0
03/10/2011,NY,1
03/10/2011,NY,0
03/10/2011,NY,1
03/10/2011,NY,0
03/10/2011,NY,1
03/10/2011,NY,0
03/10/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,0
03/10/2011,NY,1
03/10/2011,NY,1
03/10/2011,NY,1
